"timestamps","temperatures","humidities","pm25","pm10"
"2018-07-01 20:03:37.652135",27.600000381469727,46.5,316.8,356.1
"2018-07-01 20:03:47.676210",27.5,46.400001525878906,364.0,408.5
"2018-07-01 20:03:57.700268",27.5,46.5,376.2,421.6
"2018-07-01 20:04:07.724377",27.600000381469727,46.5,438.6,509.4
"2018-07-01 20:04:17.748446",27.5,46.5,428.9,500.7
"2018-07-01 20:04:27.771259",27.5,46.5,420.6,495.4
"2018-07-01 20:04:37.695362",27.5,46.400001525878906,316.7,359.2
"2018-07-01 20:04:47.719412",27.399999618530273,46.400001525878906,341.8,384.3
"2018-07-01 20:04:57.743497",27.399999618530273,46.400001525878906,381.3,428.3
"2018-07-01 20:05:07.767648",27.399999618530273,46.400001525878906,393.7,442.6
"2018-07-01 20:05:17.791732",27.399999618530273,46.5,359.7,408.7
"2018-07-01 20:05:27.814421",27.399999618530273,46.5,319.3,369.2
"2018-07-01 20:05:37.738495",27.399999618530273,46.5,305.0,352.2
"2018-07-01 20:05:47.762576",27.299999237060547,46.5,303.1,352.8
"2018-07-01 20:05:57.787932",27.299999237060547,46.5,304.1,351.7
"2018-07-01 20:06:10.315786",27.299999237060547,46.5,293.5,336.9
"2018-07-01 20:06:17.836542",27.299999237060547,46.5,285.0,323.2
"2018-07-01 20:06:27.860626",27.299999237060547,46.5,285.2,321.9
"2018-07-01 20:06:37.884691",27.299999237060547,46.5,273.8,308.8
"2018-07-01 20:06:47.807531",27.299999237060547,46.5,266.7,299.7
"2018-07-01 20:06:57.830323",27.299999237060547,46.5,253.5,285.0
"2018-07-01 20:07:07.854428",27.299999237060547,46.5,262.3,295.0
"2018-07-01 20:07:17.878489",27.299999237060547,46.400001525878906,263.6,301.8
"2018-07-01 20:07:27.902583",27.299999237060547,46.5,261.7,301.5
"2018-07-01 20:07:37.926655",27.299999237060547,46.5,253.5,292.4
"2018-07-01 20:07:47.949490",27.299999237060547,46.5,247.8,284.9
"2018-07-01 20:07:57.868565",27.299999237060547,46.5,266.8,302.7
"2018-07-01 20:08:07.890167",27.299999237060547,46.5,310.9,348.5
"2018-07-01 20:08:17.911814",27.200000762939453,46.400001525878906,322.0,361.0
"2018-07-01 20:08:27.935692",27.200000762939453,46.400001525878906,308.4,345.7
"2018-07-01 20:08:37.959589",27.200000762939453,46.29999923706055,267.3,300.2
"2018-07-01 20:08:47.983647",27.299999237060547,46.5,258.5,290.1
"2018-07-01 20:08:58.007909",27.299999237060547,46.400001525878906,251.2,281.9
"2018-07-01 20:09:07.932140",27.200000762939453,46.29999923706055,244.5,274.6
"2018-07-01 20:09:17.957186",27.200000762939453,46.400001525878906,231.6,260.1
"2018-07-01 20:09:27.981271",27.200000762939453,46.29999923706055,221.8,248.9
"2018-07-01 20:09:38.005339",27.200000762939453,46.29999923706055,212.1,238.0
"2018-07-01 20:09:48.029422",27.200000762939453,46.29999923706055,208.8,234.3
"2018-07-01 20:09:58.052239",27.200000762939453,46.29999923706055,204.7,229.9
"2018-07-01 20:10:07.977636",27.200000762939453,46.400001525878906,201.3,226.0
"2018-07-01 20:10:18.001780",27.100000381469727,46.29999923706055,195.8,219.9
"2018-07-01 20:10:30.533372",27.100000381469727,46.29999923706055,189.7,213.3
"2018-07-01 20:10:38.049942",27.100000381469727,46.29999923706055,188.4,212.5
"2018-07-01 20:10:48.074482",27.100000381469727,46.29999923706055,185.7,209.5
"2018-07-01 20:10:58.097311",27.100000381469727,46.29999923706055,180.1,202.6
"2018-07-01 20:11:08.122440",27.100000381469727,46.29999923706055,177.3,199.1
"2018-07-01 20:11:18.044165",27.100000381469727,46.400001525878906,174.9,196.3
"2018-07-01 20:11:28.067102",27.0,46.29999923706055,172.8,194.3
"2018-07-01 20:11:38.088594",27.100000381469727,46.400001525878906,168.4,189.3
"2018-07-01 20:11:48.112497",27.0,46.29999923706055,164.4,184.8
"2018-07-01 20:11:58.135509",27.0,46.400001525878906,160.1,179.9
"2018-07-01 20:12:08.159517",27.0,46.400001525878906,156.2,175.4
"2018-07-01 20:12:18.183418",27.0,46.5,155.4,174.5
